pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
HD 9446 b,HD 9446,1,1,2,Radial Velocity,2009,30.052,0.189,0.006,-0.006,0,,,222.472,0.7,,G5 V,1,1,23.3350424,29.2649187,50.3503
HD 9446 c,HD 9446,1,1,2,Radial Velocity,2009,192.9,0.654,0.022,-0.022,0,,,578.426,1.82,,G5 V,1,1,23.3350424,29.2649187,50.3503
HD 94771 b,HD 94771,1,1,1,Radial Velocity,2023,2164,3.48,0.03,-0.03,0,,,169,0.53,,G3/G5 V,1.9,1.2,163.9746776,-35.1145225,57.7807
HD 94834 b,HD 94834,1,1,1,Radial Velocity,2018,1576,2.74,0.18,-0.18,0,,,400.4658,1.26,,,4.2,1.11,164.3126363,24.1429374,98.1609
HD 95089 b,HD 95089,0,1,2,Radial Velocity,2009,507,1.51,0.05,-0.05,0,,,381.38,1.2,,,4.9,1.58,164.698748,1.7290087,136.957
HD 95089 b,HD 95089,1,1,2,Radial Velocity,2009,464.4,1.36,0.13,-0.13,0,,,400.4658,1.26,,,5.08,1.54,164.698748,1.7290087,136.957
HD 95089 c,HD 95089,1,1,2,Radial Velocity,2018,1785,3.33,0.31,-0.31,0,,,1096.5135,3.45,,,5.08,1.54,164.698748,1.7290087,136.957
HD 95127 b,HD 95127,1,1,1,Radial Velocity,2015,482,1.28,0.08,-0.08,0,,,3378.5329,10.63,,,41.01,3.7,164.8961152,43.8144094,676.579
HD 95127 b,HD 95127,0,1,1,Radial Velocity,2015,482,1.28,0.01,-0.01,0,,,1592.26,5.01,,K0,20,1.2,164.8961152,43.8144094,676.579
HD 95338 b,HD 95338,1,1,1,Radial Velocity,2020,55.087,0.262,0.002,-0.002,0,3.89,0.347,42.44,0.13353,385,K0.5 V,0.87,0.83,164.8563364,-56.6235564,36.9941
HD 95544 b,HD 95544,0,1,1,Radial Velocity,2021,2172,3.386,0.075,-0.077,0,,,2173.9463,6.84,156,G3 V,1.09,1.09,166.3231784,81.0389868,87.8049
HD 95544 b,HD 95544,1,1,1,Radial Velocity,2021,2041.54152,3.166,0.294,-0.25,0,,,1913.64484,6.021,,,,1.01,166.3231784,81.0389868,87.8049
HD 95544 b,HD 95544,0,1,1,Radial Velocity,2021,2170,3.383,0.074,-0.077,0,,,2459.99187,7.74,,G0,,1.09,166.3231784,81.0389868,87.8049
HD 95735 c,GJ 411,0,1,2,Radial Velocity,2021,3190,3.1,0.13,-0.11,0,,,18.05265,0.0568,,,0.37,0.39,165.834471,35.972317,5.675773
HD 95735 c,GJ 411,1,1,2,Radial Velocity,2021,2946,2.94,0.14,-0.12,0,,,13.6,0.04279,,,0.37,0.39,165.834471,35.972317,5.675773
HD 95872 b,HD 95872,1,1,1,Radial Velocity,2015,4375,5.15,0.16,-0.16,0,,,1188.6842,3.74,,,0.84,0.7,165.8658796,-22.0943303,72.2195
HD 95872 b,HD 95872,0,1,1,Radial Velocity,2015,4375,5.2,0.1,-0.1,0,,,1462.018,4.6,,K0 V,,0.95,165.8658796,-22.0943303,72.2195
HD 96063 b,HD 96063,1,1,1,Radial Velocity,2011,362.5,1.11,0.14,-0.14,0,,,403.6441,1.27,,,4.75,1.37,166.1853484,-2.5132966,140.065
HD 96063 b,HD 96063,0,1,1,Radial Velocity,2011,361.1,0.99,0.03,-0.03,0,,,286,0.9,,,4.5,1.02,166.1853484,-2.5132966,140.065
HD 96127 b,HD 96127,0,1,1,Radial Velocity,2011,647.3,1.4,,,0,,,1271.32,4,,K2 III,35,0.91,166.441502,44.30155,587.659
HD 96127 b,HD 96127,1,1,1,Radial Velocity,2011,647.29999,1.42,0.13,-0.13,0,,,6661.7168,20.96,,,51.1,10.94,166.441502,44.30155,587.659
HD 96167 b,HD 96167,1,2,1,Radial Velocity,2009,498.04,1.332,0.098,-0.098,0,,,227.88411,0.717,,,1.94,1.27,166.3125657,-10.291345,85.3006
HD 96167 b,HD 96167,0,2,1,Radial Velocity,2009,498.1,1.332,0.092,-0.092,0,,,225.6593,0.71,,G5,1.94,1.27,166.3125657,-10.291345,85.3006
HD 96167 b,HD 96167,0,2,1,Radial Velocity,2009,498.89999,1.35,0.04,-0.04,0,,,254.264,0.8,,,1.85,1.67,166.3125657,-10.291345,85.3006
HD 96167 b,HD 96167,0,2,1,Radial Velocity,2009,498.9,1.3,0.07,-0.07,0,,,216.1244,0.68,,,1.86,1.31,166.3125657,-10.291345,85.3006
HD 96700 b,HD 96700,1,1,3,Radial Velocity,2021,8.1245,0.0777,0.0013,-0.0013,0,,,8.9,0.028,,G0 V,,0.89,166.9742616,-30.1751383,25.4111
HD 96700 c,HD 96700,1,1,3,Radial Velocity,2021,19.88,0.141,0.002,-0.002,0,,,3.5,0.01101,,G0 V,,0.89,166.9742616,-30.1751383,25.4111
HD 96700 d,HD 96700,1,1,3,Radial Velocity,2021,103.5,0.424,0.007,-0.007,0,,,12.7,0.03996,,G0 V,,0.89,166.9742616,-30.1751383,25.4111
HD 96992 b,HD 96992,1,1,1,Radial Velocity,2021,514,1.24,0.05,-0.05,0,,,362.3262,1.14,,,7.43,0.96,167.5966158,43.9189897,396.082
HD 97037 b,HD 97037,1,1,1,Radial Velocity,2022,6449.08337,6.925,0.283,-0.318,0,,,6707.76853,21.105,,,,1.06,167.5545621,-7.3901483,32.413
HD 97658 b,HD 97658,0,1,1,Radial Velocity,2010,9.4909,0.0796,0.0011,-0.0011,0,2.341,0.209,7.86,0.02473,,,0.7,0.75,168.6376584,25.7105962,21.5618
HD 97658 b,HD 97658,0,1,1,Radial Velocity,2010,9.4903,0.08,0.0017,-0.0018,0,2.247,0.2,7.55,0.024,757,K1,0.74,0.77,168.6376584,25.7105962,21.5618
HD 97658 b,HD 97658,0,1,1,Radial Velocity,2010,9.494,0.0831,0.0011,-0.0011,0,,,8.26323,0.026,,,0.68,0.78,168.6376584,25.7105962,21.5618
HD 97658 b,HD 97658,0,1,1,Radial Velocity,2010,9.48908,0.0805,0.001,-0.0011,0,,,7.85036,0.0247,,,0.75,0.77,168.6376584,25.7105962,21.5618
HD 98219 b,HD 98219,0,1,1,Radial Velocity,2011,436.9,1.23,0.03,-0.03,0,,,572.1,1.8,,,4.5,1.3,169.4475218,-23.975488,113.704
HD 98219 b,HD 98219,1,1,1,Radial Velocity,2011,433.8,1.26,0.12,-0.12,0,,,624.21812,1.964,,,4.6,1.41,169.4475218,-23.975488,113.704
HD 98219 b,HD 98219,0,1,1,Radial Velocity,2011,436.89999,1.32,0.03,-0.03,0,,,699.226,2.2,,,3.85,1.71,169.4475218,-23.975488,113.704
HD 98649 b,HD 98649,0,1,1,Radial Velocity,2012,5384,5.97,0.24,-0.21,0,,,3082.93555,9.7,,G3/G5 V,,0.97,170.2147665,-23.2181063,42.1727
HD 98649 b,HD 98649,0,1,1,Radial Velocity,2012,6022.9725,6.57,0.31,-0.23,0,,,2158.0657,6.79,,G3/G5 V,1.01,1.03,170.2147665,-23.2181063,42.1727
HD 98649 b,HD 98649,0,1,1,Radial Velocity,2012,4951,5.6,0.4,-0.4,0,,,2161.2,6.8,,G4 V,1,1,170.2147665,-23.2181063,42.1727
HD 98649 b,HD 98649,1,1,1,Radial Velocity,2012,5697.3043,6.297,0.338,-0.336,0,,,2665.30902,8.386,,,,1.02,170.2147665,-23.2181063,42.1727
HD 98736 b,HD 98736,1,2,1,Radial Velocity,2018,968.8,1.864,0.091,-0.091,0,,,740.5439,2.33,,,0.93,0.92,170.4549045,18.1896082,32.4459
HD 99109 b,HD 99109,0,1,1,Radial Velocity,2005,439.3,1.105,0.065,-0.065,0,,,159.5,0.502,,,,0.93,171.0715576,-1.529761,54.7901
HD 99109 b,HD 99109,0,1,1,Radial Velocity,2005,441,1.122,0.017,-0.017,0,,,150.65066,0.474,,,0.99,0.97,171.0715576,-1.529761,54.7901
HD 99109 b,HD 99109,1,1,1,Radial Velocity,2005,439.29999,1.11,0.02,-0.02,0,,,139.8452,0.44,,,0.98,0.76,171.0715576,-1.529761,54.7901
HD 99283 b,HD 99283,1,1,1,Radial Velocity,2021,310.4,1.08,0.05,-0.07,0,,,308.29355,0.97,,K0 III,11.21,1.76,171.4874082,55.8506653,111.093
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.0431,0.1232,0.0071,-0.0071,0,,,34.6,0.109,,,0.75,0.85,171.689687,3.0071331,18.2038
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.0431,0.12,0,0,0,,,22.2481,0.07,,,0.83,0.48,171.689687,3.0071331,18.2038
HD 99492 b,HD 99492,0,2,2,Radial Velocity,2004,17.038,0.119,,,0,,,35.59696,0.112,,K2 V,,0.78,171.689687,3.0071331,18.2038
